sciname,obis_occ,iucn_sid,am_sid,occurcells
Acipenser brevirostrum,63,222,Fis-29585,16
Acipenser naccarii,1,224,Fis-29589,6
Acipenser nudiventris,0,225,Fis-29590,6
Acipenser stellatus,11,229,Fis-29592,9
Acipenser sturio,65,230,Fis-29593,113
Acipenser gueldenstaedtii,0,232,Fis-58741,7
Acipenser medirostris,10,233,Fis-29588,19
Acipenser transmontanus,75323,234,Fis-29594,10
Acipenser sinensis,1,236,Fis-32981,3
Acipenser mikadoi,NA,241,Fis-33633,3
Acipenser oxyrinchus,540,245,Fis-58742,56
Alopex lagopus,NA,899,NA,NA
Vulpes lagopus,4,899,NA,NA
Alosa immaculata,3,907,Fis-2,7
Amblyrhynchus cristatus,1,1086,Rep-455,17
Anisotremus moricandi,16,1308,Fis-140213,5
Anthias salmopunctatus,3,1615,Fis-58775,3
Aonyx capensis,NA,1793,NA,NA
Aphanius fasciatus,44,1847,Fis-25345,34
Arctocephalus australis,211,2055,ITS-Mam-180633,44
Arctocephalus galapagoensis,105,2057,ITS-Mam-180634,13
Arctocephalus gazella,25503,2058,ITS-Mam-180630,1565
Arctocephalus tropicalis,81,2058,ITS-Mam-180632,65
Arctocephalus philippii,46,2059,ITS-180635,0
Arctocephalus pusillus,2956,2060,ITS-Mam-180629,66
Arctocephalus townsendi,45,2061,ITS-Mam-180636,29
Atherina boyeri,85,2352,Fis-29684,109
Atherina presbyter,187,2352,Fis-29300,72
Balaena mysticetus,9213,2467,ITS-Mam-180533,79
Balaenoptera acutorostrata,13317,2474,ITS-Mam-180524,2063
Balaenoptera borealis,10253,2475,ITS-Mam-180526,1150
Balaenoptera brydei,886,2476,ITS-Mam-612597,32
Balaenoptera edeni,886,2476,ITS-Mam-180525,74
Balaenoptera musculus,16326,2477,ITS-Mam-180528,2008
Balaenoptera physalus,64436,2478,ITS-Mam-180527,3027
Balaenoptera bonaerensis,453,2480,ITS-Mam-612592,375
Balistes vetula,1057,2539,Fis-29302,324
Bathyraja abyssicola,47,2636,Fis-55409,32
Berardius arnuxii,21,2762,ITS-Mam-180495,52
Berardius bairdii,176,2763,ITS-Mam-180496,104
Birgus latro,7,2811,Chn-ae156111-0d32-4a94-8720-9d7733c99831,26
Brachionichthys hirsutus,27,2958,Fis-56243,5
Butis butis,262,3381,Fis-26816,155
Callorhinus ursinus,2621,3590,ITS-Mam-180627,299
Canthigaster rapaensis,1,3764,NA,NA
Caperea marginata,40,3778,ITS-Mam-180535,59
Carcharhinus limbatus,2740,3851,Fis-23060,479
Carcharhinus obscurus,2232,3852,Fis-23064,467
Carcharhinus plumbeus,3400,3853,Fis-23066,535
Carcharias taurus,902,3854,Fis-29388,270
Carcharodon carcharias,2636,3855,Fis-23071,373
Caretta caretta,26320,3897,Rep-2666,4993
Testudo caretta,NA,3897,NA,NA
Centropyge resplendens,NA,4131,NA,NA
Cephalorhynchus commersonii,607,4159,ITS-Mam-180449,128
Cephalorhynchus eutropia,NA,4160,ITS-180450,2
Cephalorhynchus heavisidii,65,4161,ITS-Mam-180451,29
Cephalorhynchus hectori,12,4162,ITS-Mam-180452,5
Cetorhinus maximus,5061,4292,Fis-22747,536
Chaetodon flavocoronatus,3,4360,NA,NA
Chaetodon litus,NA,4361,NA,NA
Chaetodon marleyi,100,4362,Fis-32632,27
Chaetodon notophthalmus,NA,4362,NA,NA
Chaetodon obliquus,NA,4363,NA,NA
Prognathodes obliquus,1,4363,NA,NA
Chaetodon robustus,692,4364,Fis-33809,53
Chaetodon luciae,692,4364,NA,NA
Cheilinus undulatus,1314,4592,Fis-31463,166
Chelonia mydas,3113,4615,Rep-2941,1581
Testudo mydas,NA,4615,NA,NA
Chromis sanctaehelenae,NA,4805,NA,NA
Conus africanus,NA,5269,NA,NA
Conus cepasi,NA,5270,NA,NA
Conus nobrei,NA,5272,NA,NA
Conus zebroides,NA,5273,NA,NA
Crocodylus acutus,2,5659,Rep-3445,65
Crocodilus acutus,NA,5659,NA,NA
Crocodylus porosus,6,5668,Rep-3460,149
Croilia mossambica,43,5675,Fis-31807,8
Cystophora cristata,105,6204,ITS-Mam-180657,80
Dalatias licha,3489,6229,Fis-23101,558
Delphinapterus leucas,3817,6335,ITS-Mam-180483,165
Delphinus delphis,17684,6336,ITS-Mam-180438,1969
Delphinus capensis,560,6337,ITS-Mam-555654,129
Delphinus bairdii,NA,6337,NA,NA
Delphinus tropicalis,NA,6337,NA,NA
Dermochelys coriacea,11538,6494,Rep-4381,5390
Testudo coriacea,NA,6494,NA,NA
Dugong dugon,105,6909,ITS-Mam-180679,245
Echinus esculentus,15964,7011,W-Ech-124287,6
Eleotris melanosoma,193,7135,Fis-33751,53
Enhydra lutris,2416,7750,ITS-Mam-180547,156
Entomacrodus cadenati,105,7778,NA,NA
Epinephelus drummondhayi,159,7854,Fis-29953,41
Epinephelus exsul,25,7855,NA,NA
Hyporthodus exsul,25,7855,NA,NA
Serrihastaperca exsul,NA,7855,NA,NA
Epinephelus lanceolatus,127,7858,Fis-26139,160
Epinephelus marginatus,1353,7859,Fis-26140,299
Epinephelus brachysoma,NA,7859,NA,NA
Serranus aspersus,NA,7859,NA,NA
Serranus fimbriatus,NA,7859,NA,NA
Serranus marginatus,NA,7859,NA,NA
Epinephelus nigritus,64,7860,Fis-163779,29
Serranus nigritus,NA,7860,Fis-163779,29
Epinephelus niveatus,415,7861,Fis-163781,61
Serranus niveatus,NA,7861,Fis-163781,61
Epinephelus striatus,273,7862,Fis-22722,129
Eretmochelys imbricata,1597,8005,Rep-5181,804
Testudo imbricata,NA,8005,NA,NA
Erignathus barbatus,1880,8010,ITS-Mam-180655,195
Eschrichtius robustus,4572,8097,ITS-Mam-180521,252
Eubalaena australis,7188,8153,ITS-Mam-552771,236
Eumetopias jubatus,322,8239,ITS-Mam-180625,246
