"spp_group","spp_group_text"
"DAMSELFISH","Damselfish"
"WRASSES","Wrasses"
"SEABREAMS_PORGIES","Sparidae"
"SURGEONFISH_TANGS_UNICORNFISH","Acanthuridae"
"COMBTOOTHBLENNIES","Blenniidae"
"TUNAS_BILLFISHES","Tunas/Billfishes"
"GROUPERS","Groupers"
"PUFFERFISH","Pufferfish"
"BUTTERFLYFISH","Butterflyfish"
"ANGELFISH","Angelfish"
"PARROTFISH","Parrotfish"
"BONEFISH_TARPONS","Bonefish/Tarpons"
"LOBSTERS","Lobsters"
"CONUS","Cone snails"
"CORALS3","Corals"
"CORALS1","Corals"
"CORALS2","Corals"
"SEACUCUMBERS","Sea Cucumbers"
"MAMMMARINE","Marine Mammals"
"SEAGRASSES","Sea grasses"
"MANGROVES","Mangroves"
"MAMMTERR","Terr. Mammals"
